user_id,skill_name,type,activityId,correct,visited_At,order_Id,class
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1241,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1242,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1243,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,0,2023-03-20 01:36:38.401,1244,OBJ2000
norway22108,Arrays,Coding,fixing_order_of_numbers,1,2023-03-20 01:36:38.401,1245,OBJ2000
norway22142,If-Else,Coding,sortaSum,0,2023-03-20 12:10:05.798,1343,OBJ2000
norway22142,If-Else,Coding,sortaSum,0,2023-03-20 12:10:05.798,1344,OBJ2000
norway22142,If-Else,Coding,sortaSum,1,2023-03-20 12:10:05.798,1345,OBJ2000
norway22142,Objects and Classes,Coding,object_classes_4,0,2023-03-20 13:31:24.129,1346,OBJ2000
norway22142,Objects and Classes,Coding,object_classes_4,0,2023-03-20 13:31:24.129,1347,OBJ2000
norway22142,Objects and Classes,Coding,object_classes_4,1,2023-03-20 13:31:24.129,1348,OBJ2000
norway22142,Nested Loops,Coding,nested_loops_1,0,2023-03-20 13:53:57.625,1349,OBJ2000
norway22142,Nested Loops,Coding,nested_loops_1,0,2023-03-20 13:53:57.625,1350,OBJ2000
norway22142,Nested Loops,Coding,nested_loops_1,0,2023-03-20 13:53:57.625,1351,OBJ2000
norway22142,Nested Loops,Coding,nested_loops_1,1,2023-03-20 13:53:57.625,1352,OBJ2000
norway22114,ArrayLists,Coding,array_lst_1,0,2023-03-20 14:31:50.201,1353,OBJ2000
norway22114,ArrayLists,Coding,array_lst_1,0,2023-03-20 14:31:50.201,1354,OBJ2000
norway22114,ArrayLists,Coding,array_lst_1,0,2023-03-20 14:31:50.201,1355,OBJ2000
norway22114,ArrayLists,Coding,array_lst_1,1,2023-03-20 14:31:50.201,1356,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1389,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1390,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1391,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1392,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1393,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1394,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1395,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1396,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1397,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1398,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1399,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1400,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1401,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1402,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1403,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1404,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1405,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1406,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1407,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1408,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1409,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1410,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1411,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1412,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1413,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1414,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1415,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1416,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1417,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1418,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1419,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1420,OBJ2000
norway22132,Strings,Coding,end_characters,0,2023-03-20 18:51:02.213,1421,OBJ2000
norway22132,Strings,Coding,end_characters,1,2023-03-20 18:51:02.213,1422,OBJ2000
norway22132,Strings,Coding,first_last_swap,0,2023-03-20 19:47:27.692,1423,OBJ2000
norway22132,Strings,Coding,first_half,1,2023-03-20 19:51:05.773,1424,OBJ2000
norway22132,Strings,Coding,is_is_substring_or_ not_is_not_substring,0,2023-03-20 19:52:18.871,1425,OBJ2000
norway22132,Strings,Coding,is_is_substring_or_ not_is_not_substring,0,2023-03-20 19:52:18.871,1426,OBJ2000
norway22132,Strings,Coding,is_is_substring_or_ not_is_not_substring,0,2023-03-20 19:52:18.871,1427,OBJ2000
