user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6764,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6765,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6766,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6767,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6768,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6769,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6770,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6771,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6772,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6773,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6774,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6775,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6776,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6777,OBJ2000
norway22104,Strings,Coding,first_last_swap,0,,,,2023-04-06 11:21:06.988,,6778,OBJ2000
norway22104,Strings,Coding,repeat_last_char,0,,,,2023-04-07 14:13:49.418,,6779,OBJ2000
norway22104,Strings,Coding,repeat_last_char,0,,,,2023-04-07 14:13:49.418,,6780,OBJ2000
norway22104,Strings,Coding,repeat_last_char,0,,,,2023-04-07 14:13:49.418,,6781,OBJ2000
norway22104,Strings,Coding,repeat_last_char,0,,,,2023-04-07 14:13:49.418,,6782,OBJ2000
norway22104,Strings,Coding,repeat_last_char,1,,,,2023-04-07 14:13:49.418,,6783,OBJ2000
norway22104,Strings,Coding,make_out_word,0,,,,2023-04-07 14:33:30.852,,6784,OBJ2000
norway22104,Strings,Coding,make_out_word,1,,,,2023-04-07 14:33:30.852,,6785,OBJ2000
norway22104,Strings,Coding,make_out_word,-1,,,,2023-04-07 14:33:30.853,,6786,OBJ2000
norway22104,Boolean Expressions,Challenges,JPhoneAge2,1,1,1,1,2023-04-07 16:40:36.586,2023-04-07 16:51:46.751,6787,OBJ2000
norway22104,Boolean Expressions,Challenges,JFailCourse2,1,1,1,1,2023-04-07 16:43:59.206,2023-04-07 16:44:49.473,6788,OBJ2000
norway22104,Boolean Expressions,Challenges,JRentCar2,1,1,1,1,2023-04-07 16:44:51.109,2023-04-07 16:46:26.786,6789,OBJ2000
norway22104,Boolean Expressions,Challenges,JThreeBoolean3,1,1,1,1,2023-04-07 16:46:30.438,2023-04-07 16:47:51.255,6790,OBJ2000
norway22104,Boolean Expressions,Challenges,JThreeBoolean2,0,2,0.5,"0,1",2023-04-07 16:47:53.553,2023-04-07 16:51:25.391,6791,OBJ2000
norway22104,Boolean Expressions,Challenges,JFailCourse3,1,1,1,1,2023-04-07 16:51:47.768,2023-04-07 16:52:34.801,6792,OBJ2000
norway22104,Boolean Expressions,Challenges,JRentCar3,1,1,1,1,2023-04-07 16:52:34.436,2023-04-07 16:53:39.18,6793,OBJ2000
norway22104,Boolean Expressions,Challenges,JBooleanDryHot2,1,1,1,1,2023-04-07 16:53:39.489,2023-04-07 16:54:44.544,6794,OBJ2000
norway22104,Boolean Expressions,Challenges,JBooleanDryHot4,0,3,0.33,"0,0,1",2023-04-07 16:54:48.04,2023-04-07 16:57:35.961,6795,OBJ2000
norway22104,Boolean Expressions,Challenges,JBooleanDryHot3,1,1,1,1,2023-04-07 16:57:39.38,2023-04-07 16:58:03.415,6796,OBJ2000
